,Year,Country,Granularity,Mortality rate attributed to exposure to unsafe WASH services,WASH deaths
0,2016,Afghanistan,Female,15.31193,
1,2016,Afghanistan,Male,12.61297,
2,2016,Afghanistan,Total,13.92067,4824.0
3,2016,Albania,Female,0.12552,
4,2016,Albania,Male,0.2065,
5,2016,Albania,Total,0.16641,5.0
6,2016,Algeria,Female,2.1989,
7,2016,Algeria,Male,1.72837,
8,2016,Algeria,Total,1.86723,758.0
9,2016,Angola,Female,45.15024,
10,2016,Angola,Male,52.62506,
11,2016,Angola,Total,48.81467,14065.0
12,2016,Antigua and Barbuda,Female,0.10419,
13,2016,Antigua and Barbuda,Male,0.12469,
14,2016,Antigua and Barbuda,Total,0.11403,0.0
15,2016,Argentina,Female,0.40251,
16,2016,Argentina,Male,0.32166,
17,2016,Argentina,Total,0.36294,159.0
18,2016,Armenia,Female,0.16495,
19,2016,Armenia,Male,0.19032,
20,2016,Armenia,Total,0.17688,5.0
21,2016,Australia,Female,0.11958,
22,2016,Australia,Male,0.07103,
23,2016,Australia,Total,0.09539,23.0
24,2016,Austria,Female,0.15099,
25,2016,Austria,Male,0.09539,
26,2016,Austria,Total,0.12375,11.0
27,2016,Azerbaijan,Female,0.95527,
28,2016,Azerbaijan,Male,1.28588,
29,2016,Azerbaijan,Total,1.11988,109.0
30,2016,Bahamas,Female,0.06681,
31,2016,Bahamas,Male,0.07032,
32,2016,Bahamas,Total,0.06853,0.0
33,2016,Bahrain,Female,0.04812,
34,2016,Bahrain,Male,0.0344,
35,2016,Bahrain,Total,0.0396,1.0
36,2016,Bangladesh,Female,13.829,
37,2016,Bangladesh,Male,10.0935,
38,2016,Bangladesh,Total,11.94467,19464.0
39,2016,Barbados,Female,0.23025,
40,2016,Barbados,Male,0.09322,
41,2016,Barbados,Total,0.16462,0.0
42,2016,Belarus,Female,0.0529,
43,2016,Belarus,Male,0.05022,
44,2016,Belarus,Total,0.05165,5.0
45,2016,Belgium,Female,0.35482,
46,2016,Belgium,Male,0.20645,
47,2016,Belgium,Total,0.28179,32.0
48,2016,Belize,Female,0.89054,
49,2016,Belize,Male,1.04043,
50,2016,Belize,Total,0.96521,4.0
51,2016,Benin,Female,54.36152,
52,2016,Benin,Male,65.12923,
53,2016,Benin,Total,59.73005,6494.0
54,2016,Bhutan,Female,4.5675,
55,2016,Bhutan,Male,3.40449,
56,2016,Bhutan,Total,3.94974,32.0
57,2016,Bolivia (Plurinational State of),Female,4.92742,
58,2016,Bolivia (Plurinational State of),Male,6.22563,
59,2016,Bolivia (Plurinational State of),Total,5.57744,607.0
60,2016,Bosnia and Herzegovina,Female,0.0809,
61,2016,Bosnia and Herzegovina,Male,0.07647,
62,2016,Bosnia and Herzegovina,Total,0.07872,3.0
63,2016,Botswana,Female,12.32162,
64,2016,Botswana,Male,11.19871,
65,2016,Botswana,Total,11.76669,265.0
66,2016,Brazil,Female,1.1192,
67,2016,Brazil,Male,0.97233,
68,2016,Brazil,Total,1.047,2175.0
69,2016,Brunei Darussalam,Female,0.04411,
70,2016,Brunei Darussalam,Male,0.04623,
71,2016,Brunei Darussalam,Total,0.0452,0.0
72,2016,Bulgaria,Female,0.13516,
73,2016,Bulgaria,Male,0.12216,
74,2016,Bulgaria,Total,0.12884,9.0
75,2016,Burkina Faso,Female,53.73591,
76,2016,Burkina Faso,Male,45.51959,
77,2016,Burkina Faso,Total,49.64125,9256.0
78,2016,Burundi,Female,66.77003,
79,2016,Burundi,Male,63.98737,
80,2016,Burundi,Total,65.40117,6883.0
81,2016,Cabo Verde,Female,3.95605,
82,2016,Cabo Verde,Male,4.31882,
83,2016,Cabo Verde,Total,4.13675,22.0
84,2016,Cambodia,Female,6.32701,
85,2016,Cambodia,Male,6.6208,
86,2016,Cambodia,Total,6.47033,1020.0
87,2016,Cameroon,Female,44.13828,
88,2016,Cameroon,Male,46.16591,
89,2016,Cameroon,Total,45.15287,10583.0
90,2016,Canada,Female,0.44629,
91,2016,Canada,Male,0.28836,
92,2016,Canada,Total,0.36794,134.0
93,2016,Central African Republic,Female,74.73948,
94,2016,Central African Republic,Male,89.68932,
95,2016,Central African Republic,Total,82.11312,3773.0
96,2016,Chad,Female,95.0259,
97,2016,Chad,Male,107.04802,
98,2016,Chad,Total,101.04312,14603.0
99,2016,Chile,Female,0.23087,
100,2016,Chile,Male,0.17412,
101,2016,Chile,Total,0.20277,36.0
102,2016,China,Female,0.65809,
103,2016,China,Male,0.49931,
104,2016,China,Total,0.57632,8134.0
105,2016,Colombia,Female,0.77409,
106,2016,Colombia,Male,0.73144,
107,2016,Colombia,Total,0.7531,366.0
108,2016,Comoros,Female,50.33907,
109,2016,Comoros,Male,51.12782,
110,2016,Comoros,Total,50.73689,404.0
111,2016,Congo,Female,33.89152,
112,2016,Congo,Male,43.5214,
113,2016,Congo,Total,38.70865,1984.0
114,2016,Costa Rica,Female,1.02597,
115,2016,Costa Rica,Male,0.70192,
116,2016,Costa Rica,Total,0.86387,42.0
117,2016,Croatia,Female,0.14178,
118,2016,Croatia,Male,0.08007,
119,2016,Croatia,Total,0.11204,5.0
120,2016,Cuba,Female,1.04843,
121,2016,Cuba,Male,1.00429,
122,2016,Cuba,Total,1.02635,118.0
123,2016,Cyprus,Female,0.269,
124,2016,Cyprus,Male,0.28913,
125,2016,Cyprus,Total,0.27908,3.0
126,2016,Czechia,Female,0.21096,
127,2016,Czechia,Male,0.14554,
128,2016,Czechia,Total,0.17881,19.0
129,2016,Côte d'Ivoire,Female,44.73841,
130,2016,Côte d'Ivoire,Male,49.50985,
131,2016,Côte d'Ivoire,Total,47.15776,11174.0
132,2016,Democratic People's Republic of Korea,Female,1.1235,
133,2016,Democratic People's Republic of Korea,Male,1.60006,
134,2016,Democratic People's Republic of Korea,Total,1.35658,344.0
135,2016,Democratic Republic of the Congo,Female,49.79718,
136,2016,Democratic Republic of the Congo,Male,69.76294,
137,2016,Democratic Republic of the Congo,Total,59.75592,47050.0
138,2016,Denmark,Female,0.41632,
139,2016,Denmark,Male,0.19373,
140,2016,Denmark,Total,0.30561,17.0
141,2016,Djibouti,Female,33.22502,
142,2016,Djibouti,Male,29.36276,
143,2016,Djibouti,Total,31.28645,295.0
144,2016,Dominican Republic,Female,2.1909,
145,2016,Dominican Republic,Male,2.22008,
146,2016,Dominican Republic,Total,2.20544,235.0
147,2016,Ecuador,Female,0.65657,
148,2016,Ecuador,Male,0.62773,
149,2016,Ecuador,Total,0.64215,105.0
150,2016,Egypt,Female,2.18807,
151,2016,Egypt,Male,1.82045,
152,2016,Egypt,Total,2.2022,1916.0
153,2016,El Salvador,Female,1.63727,
154,2016,El Salvador,Male,2.41991,
155,2016,El Salvador,Total,2.00514,127.0
156,2016,Equatorial Guinea,Female,23.93949,
157,2016,Equatorial Guinea,Male,20.95419,
158,2016,Equatorial Guinea,Total,22.28946,272.0
159,2016,Eritrea,Female,43.51273,
160,2016,Eritrea,Male,47.60817,
161,2016,Eritrea,Total,45.56445,2258.0
162,2016,Estonia,Female,0.00396,
163,2016,Estonia,Male,0.00889,
164,2016,Estonia,Total,0.00627,0.0
165,2016,Eswatini,Female,29.75814,
166,2016,Eswatini,Male,25.90795,
167,2016,Eswatini,Total,27.89303,375.0
168,2016,Ethiopia,Female,40.80663,
169,2016,Ethiopia,Male,46.52964,
170,2016,Ethiopia,Total,43.66399,44713.0
171,2016,Fiji,Female,2.23365,
172,2016,Fiji,Male,3.52102,
173,2016,Fiji,Total,2.88769,26.0
174,2016,Finland,Female,0.03837,
175,2016,Finland,Male,0.03389,
176,2016,Finland,Total,0.03616,2.0
177,2016,France,Female,0.32449,
178,2016,France,Male,0.2043,
179,2016,France,Total,0.26542,172.0
180,2016,Gabon,Female,18.59349,
181,2016,Gabon,Male,22.45827,
182,2016,Gabon,Total,20.57946,407.0
183,2016,Gambia,Female,28.44265,
184,2016,Gambia,Male,30.9008,
185,2016,Gambia,Total,29.65944,605.0
186,2016,Georgia,Female,0.17063,
187,2016,Georgia,Male,0.18981,
188,2016,Georgia,Total,0.17978,7.0
189,2016,Germany,Female,0.71559,
190,2016,Germany,Male,0.4533,
191,2016,Germany,Total,0.58651,480.0
192,2016,Ghana,Female,19.43354,
193,2016,Ghana,Male,18.23325,
194,2016,Ghana,Total,18.83582,5313.0
195,2016,Greece,Female,0.05317,
196,2016,Greece,Male,0.02053,
197,2016,Greece,Total,0.0371,4.0
198,2016,Grenada,Female,0.01541,
199,2016,Grenada,Male,0.66771,
200,2016,Grenada,Total,0.34283,0.0
201,2016,Guatemala,Female,5.98505,
202,2016,Guatemala,Male,6.61531,
203,2016,Guatemala,Total,6.29517,1044.0
204,2016,Guinea,Female,40.96961,
205,2016,Guinea,Male,48.27968,
206,2016,Guinea,Total,44.63392,5533.0
207,2016,Guinea-Bissau,Female,32.95495,
208,2016,Guinea-Bissau,Male,37.66702,
209,2016,Guinea-Bissau,Total,35.27235,640.0
210,2016,Guyana,Female,3.1791,
211,2016,Guyana,Male,4.11048,
212,2016,Guyana,Total,3.64877,28.0
213,2016,Haiti,Female,20.133,
214,2016,Haiti,Male,27.53149,
