,Country,Granularity,Year,Population
0,Afghanistan,Total,2000,20779.953
1,Afghanistan,Male,2000,10689.508
2,Afghanistan,Female,2000,10090.449
3,Afghanistan,Rural,2000,15657.474
4,Afghanistan,Urban,2000,4436.282
5,Afghanistan,Total,2001,21606.988
6,Afghanistan,Male,2001,11117.754
7,Afghanistan,Female,2001,10489.238
8,Afghanistan,Rural,2001,16318.324
9,Afghanistan,Urban,2001,4648.139
10,Afghanistan,Total,2002,22600.77
11,Afghanistan,Male,2002,11642.106
12,Afghanistan,Female,2002,10958.668
13,Afghanistan,Rural,2002,17086.91
14,Afghanistan,Urban,2002,4893.013
15,Afghanistan,Total,2003,23680.871
16,Afghanistan,Male,2003,12214.634
17,Afghanistan,Female,2003,11466.237
18,Afghanistan,Rural,2003,17909.063
19,Afghanistan,Urban,2003,5155.788
20,Afghanistan,Total,2004,24726.684
21,Afghanistan,Male,2004,12763.726
22,Afghanistan,Female,2004,11962.963
23,Afghanistan,Rural,2004,18692.107
24,Afghanistan,Urban,2004,5426.872
25,Afghanistan,Total,2005,25654.277
26,Afghanistan,Male,2005,13239.684
27,Afghanistan,Female,2005,12414.59
28,Afghanistan,Rural,2005,19378.962
29,Afghanistan,Urban,2005,5691.836
30,Afghanistan,Total,2006,26433.049
31,Afghanistan,Male,2006,13623.896
32,Afghanistan,Female,2006,12809.162
33,Afghanistan,Rural,2006,19961.972
34,Afghanistan,Urban,2006,5931.478
35,Afghanistan,Total,2007,27100.536
36,Afghanistan,Male,2007,13938.97
37,Afghanistan,Female,2007,13161.572
38,Afghanistan,Rural,2007,20464.923
39,Afghanistan,Urban,2007,6151.869
40,Afghanistan,Total,2008,27722.276
41,Afghanistan,Male,2008,14225.725
42,Afghanistan,Female,2008,13496.556
43,Afghanistan,Rural,2008,20929.119
44,Afghanistan,Urban,2008,6364.912
45,Afghanistan,Total,2009,28394.813
46,Afghanistan,Male,2009,14544.055
47,Afghanistan,Female,2009,13850.751
48,Afghanistan,Rural,2009,21415.593
49,Afghanistan,Urban,2009,6588.738
50,Afghanistan,Total,2010,29185.507
51,Afghanistan,Male,2010,14935.756
52,Afghanistan,Female,2010,14249.755
53,Afghanistan,Rural,2010,21966.187
54,Afghanistan,Urban,2010,6836.98
55,Afghanistan,Total,2011,30117.413
56,Afghanistan,Male,2011,15415.361
57,Afghanistan,Female,2011,14702.05
58,Afghanistan,Rural,2011,22594.126
59,Afghanistan,Urban,2011,7114.473
60,Afghanistan,Total,2012,31161.376
61,Afghanistan,Male,2012,15964.874
62,Afghanistan,Female,2012,15196.504
63,Afghanistan,Rural,2012,23280.663
64,Afghanistan,Urban,2012,7416.295
65,Afghanistan,Total,2013,32269.589
66,Afghanistan,Male,2013,16554.278
67,Afghanistan,Female,2013,15715.314
68,Afghanistan,Rural,2013,23997.856
69,Afghanistan,Urban,2013,7733.832
70,Afghanistan,Total,2014,33370.794
71,Afghanistan,Male,2014,17138.803
72,Afghanistan,Female,2014,16232.001
73,Afghanistan,Rural,2014,24703.798
74,Afghanistan,Urban,2014,8054.222
75,Afghanistan,Total,2015,34413.603
76,Afghanistan,Male,2015,17686.166
77,Afghanistan,Female,2015,16727.437
78,Afghanistan,Rural,2015,25368.923
79,Afghanistan,Urban,2015,8367.571
80,Afghanistan,Total,2016,35383.032
81,Afghanistan,Male,2016,18186.994
82,Afghanistan,Female,2016,17196.034
83,Afghanistan,Rural,2016,25985.093
84,Afghanistan,Urban,2016,8670.939
85,Afghanistan,Total,2017,36296.113
86,Afghanistan,Male,2017,18651.985
87,Afghanistan,Female,2017,17644.126
88,Afghanistan,Rural,2017,26558.609
89,Afghanistan,Urban,2017,8971.472
90,Afghanistan,Total,2018,37171.921
91,Afghanistan,Male,2018,19093.043
92,Afghanistan,Female,2018,18078.879
93,Afghanistan,Rural,2018,27099.874
94,Afghanistan,Urban,2018,9273.302
95,Albania,Total,2000,3129.243
96,Albania,Male,2000,1583.506
97,Albania,Female,2000,1545.74
98,Albania,Rural,2000,1818.833
99,Albania,Urban,2000,1303.137
100,Albania,Total,2001,3129.704
101,Albania,Male,2001,1586.178
102,Albania,Female,2001,1543.523
103,Albania,Rural,2001,1797.423
104,Albania,Urban,2001,1324.985
105,Albania,Total,2002,3126.187
106,Albania,Male,2002,1582.936
107,Albania,Female,2002,1543.247
108,Albania,Rural,2002,1762.229
109,Albania,Urban,2002,1356.8
110,Albania,Total,2003,3118.023
111,Albania,Male,2003,1574.841
112,Albania,Female,2003,1543.176
113,Albania,Rural,2003,1724.344
114,Albania,Urban,2003,1386.661
115,Albania,Total,2004,3104.892
116,Albania,Male,2004,1563.966
117,Albania,Female,2004,1540.927
118,Albania,Rural,2004,1683.584
119,Albania,Urban,2004,1414.163
